,0,1,2,3,4,5,f_name
0,0.533780013720558,48,1063,811,A,0,16
1,2.402010061742511,49,832,750,B,1,72
2,3.6030150926137665,57,1414,928,A,9,108
3,4.270240109764464,54,1207,747,B,6,128
4,5.27107763549051,51,1354,794,A,3,158
5,6.405360164646696,56,924,730,B,8,192
6,6.8724176766521845,53,858,827,A,5,206
7,7.87325520237823,50,957,756,B,2,236
8,8.840731477246742,49,679,784,A,1,265
9,10.775684026983765,57,1123,731,B,9,323
10,11.97668905785502,51,1291,797,A,3,359
11,12.977526583581067,49,680,753,B,1,389
12,14.045086611022182,57,1702,933,A,9,421
13,15.045924136748228,49,732,754,B,1,451
14,16.113484164189344,49,633,785,A,1,483
15,17.814907957923623,55,803,731,B,7,534
16,19.182719243082552,55,153,933,A,7,575
17,20.683975531671624,55,769,733,B,7,620
18,21.851619311685344,55,253,937,A,7,655
19,22.885818088268923,51,1217,755,B,3,686
20,23.986739366567576,51,1291,778,A,3,719
21,33.32788960667734,48,1001,749,B,0,999
22,34.76242339355134,55,737,931,A,7,1042
23,35.629815915847246,51,1111,743,B,3,1068
24,45.538107420535106,48,1000,802,A,0,1365
25,47.940117482277614,50,996,757,B,2,1437
26,48.87423250628859,49,740,771,A,1,1465
27,56.2470689458038,48,953,746,B,0,1686
28,69.69165304139035,48,1061,809,A,0,2089
29,70.99274182483421,49,676,745,B,1,2128
30,72.36055310999315,57,1916,955,A,9,2169
31,80.56742082094672,48,1012,808,A,0,2415
32,81.5015358449577,50,1047,757,B,2,2443
33,82.33556711639608,50,1003,787,A,2,2468
34,92.97780613994969,48,1010,751,B,0,2787
35,94.44570117768123,56,1028,954,A,8,2831
36,95.34645495083467,49,700,751,B,1,2858
37,96.48073747999086,49,503,774,A,1,2892
38,97.71510376171965,57,1111,731,B,9,2929
39,98.21552252458267,54,1648,839,A,6,2944
40,99.18299879945118,51,1235,741,B,3,2973
41,100.41736508117998,55,891,934,A,7,3010
42,101.28475760347588,49,752,753,B,1,3036
43,108.9578453007089,48,1071,813,A,0,3266
44,110.1922115824377,49,670,753,B,1,3303
45,111.29313286073635,57,1698,946,A,9,3336
46,112.46077664075007,57,1115,728,B,9,3371
47,113.26144666133091,49,705,775,A,1,3395
48,120.5341993482735,48,939,747,B,0,3613
49,121.13470186370913,51,1341,799,A,3,3631
50,122.26898439286532,57,1128,726,B,9,3665
51,123.93704693574206,57,1464,861,A,9,3715
52,124.30402069517494,53,942,743,B,5,3726
53,131.54341213126,48,1017,811,A,0,3942
54,133.31155842670935,51,1079,754,B,3,3996
55,134.27903470157787,49,670,788,A,1,4025
56,135.2465109764464,49,757,752,B,1,4054
57,146.88958752572606,48,1076,820,A,0,4403
58,147.9905088040247,49,792,754,B,1,4436
59,148.85790132632061,51,1288,795,A,3,4462
60,150.42588011662474,55,846,733,B,7,4509
61,151.66024639835354,55,511,928,A,7,4546
62,152.49427766979193,49,802,748,B,1,4571
63,153.49511519551797,49,577,781,A,1,4601
64,161.9688729133318,48,1013,746,B,0,4855
66,163.50349045277844,55,755,939,A,7,4901
67,164.2374379716442,51,1297,756,B,3,4923
68,170.50935313286075,48,954,736,B,0,5111
69,171.47682940772927,57,1743,926,A,9,5140
70,172.5443894351704,49,659,750,B,1,5172
71,180.1173933798308,48,1010,808,A,0,5399
72,181.05150840384178,50,1110,750,B,2,5427
73,182.28587468557055,57,1904,946,A,9,5464
74,190.15912988794878,48,1019,748,B,0,5700
75,191.82719243082553,55,559,911,A,7,5750
76,192.69458495312145,49,663,751,B,1,5776
77,193.56197747541734,57,1433,931,A,9,5802
78,194.1958412417105,51,1217,753,B,3,5821
79,195.26340126915161,51,1286,798,A,3,5853
80,196.33096129659273,51,1256,760,B,3,5885
81,203.53699148182028,48,946,725,B,0,6101
